,word,code,full_code,cluster
0,абстрагировать,2.3.2.1,2.3.2.1.2.1.,0
1,абстрагироваться,2.3.2.1,2.3.2.1.2.1.,0
2,алкать,2.3.2.3,2.3.2.3.3.,0
3,ассигновать,2.3.2.3,2.3.2.3.1.4.,2
4,ассоциировать,2.3.2.1,2.3.2.1.2.1.,0
5,балдеть,2.3.2.2,2.3.2.2.4.2.2.,1
6,бесить,2.3.2.2,2.3.2.2.2.3.6.2.,1
7,беситься,2.3.2.2,2.3.2.2.2.3.7.1.,1
8,беспокоить,2.3.2.2,2.3.2.2.2.3.5.2.,1
9,беспокоиться,2.3.2.2,2.3.2.2.2.3.5.1.,1
10,благоволить,2.3.2.2,2.3.2.2.2.2.3.1.1.,0
11,благоговеть,2.3.2.2,2.3.2.2.2.2.2.1.,1
12,благословить,2.3.2.3,2.3.2.3.1.7.1.,0
13,блаженствовать,2.3.2.2,2.3.2.2.3.1.1.,1
14,блуждать,2.3.2.1,2.3.2.1.2.3.,1
15,боготворить,2.3.2.2,2.3.2.2.2.2.2.1.,1
16,болеть,2.3.2.1,2.3.2.1.4.2.,1
17,болеть,2.3.2.2,2.3.2.2.2.3.5.1.,1
18,бояться,2.3.2.1,2.3.2.1.2.5.,0
19,бояться,2.3.2.2,2.3.2.2.2.3.5.1.,0
20,браться,2.3.2.3,2.3.2.3.1.4.,2
21,бредить,2.3.2.1,2.3.2.1.2.4.2.,1
22,брезгать,2.3.2.2,2.3.2.2.2.3.2.1.,1
23,бродить,2.3.2.1,2.3.2.1.2.3.,1
24,будить,2.3.2.2,2.3.2.2.2.1.1.2.,1
25,будоражить,2.3.2.2,2.3.2.2.2.3.5.2.,1
26,валить,2.3.2.3,2.3.2.3.1.5.,2
27,вверить,2.3.2.3,2.3.2.3.1.5.,0
28,вдохновить,2.3.2.2,2.3.2.2.2.2.1.2.,0
29,вдохновить,2.3.2.3,2.3.2.3.2.1.,0
30,вдохновиться,2.3.2.2,2.3.2.2.2.1.1.1.,0
31,вдохнуть,2.3.2.2,2.3.2.2.2.1.1.2.,1
32,вдуматься,2.3.2.1,2.3.2.1.2.2.,0
33,ведать,2.3.2.1,2.3.2.1.3.1.,0
34,ведать,2.3.2.1,2.3.2.1.3.2.,0
35,ведать,2.3.2.1,2.3.2.1.3.3.,0
36,велеть,2.3.2.3,2.3.2.3.1.1.,0
37,велеть,2.3.2.3,2.3.2.3.1.5.,0
38,верить,2.3.2.1,2.3.2.1.1.,0
39,верить,2.3.2.1,2.3.2.1.6.1.,0
40,верить,2.3.2.1,2.3.2.1.6.3.,0
41,вериться,2.3.2.1,2.3.2.1.6.1.,0
42,вернуть,2.3.2.3,2.3.2.3.1.3.,2
43,веровать,2.3.2.1,2.3.2.1.1.,0
44,веровать,2.3.2.1,2.3.2.1.6.1.,0
45,веселеть,2.3.2.2,2.3.2.2.4.3.,1
46,веселить,2.3.2.2,2.3.2.2.2.2.1.2.,1
47,веселиться,2.3.2.2,2.3.2.2.2.2.1.1.,1
48,взбелениться,2.3.2.2,2.3.2.2.2.3.7.1.,1
49,взвалить,2.3.2.3,2.3.2.3.1.5.,2
50,взвесить,2.3.2.1,2.3.2.1.2.2.,0
51,взвесить,2.3.2.1,2.3.2.1.2.6.,0
52,взвинтить,2.3.2.2,2.3.2.2.2.3.5.2.,2
53,взвиться,2.3.2.2,2.3.2.2.2.3.7.1.,2
54,взволноваться,2.3.2.2,2.3.2.2.2.1.1.1.,1
55,взглянуть,2.3.2.1,2.3.2.1.4.1.,2
56,вздумать,2.3.2.3,2.3.2.3.3.,0
57,вздуматься,2.3.2.3,2.3.2.3.3.,0
58,вздыхать,2.3.2.2,2.3.2.2.2.2.2.1.,1
59,вздыхать,2.3.2.2,2.3.2.2.3.4.1.,1
60,взирать,2.3.2.1,2.3.2.1.2.6.,2
61,взорвать,2.3.2.2,2.3.2.2.2.3.7.2.,2
62,взорваться,2.3.2.2,2.3.2.2.2.3.7.1.,2
63,взыграть,2.3.2.2,2.3.2.2.2.1.1.1.,1
64,видеть,2.3.2.1,2.3.2.1.2.1.,0
65,видеть,2.3.2.1,2.3.2.1.2.4.2.,0
66,видеть,2.3.2.1,2.3.2.1.3.1.,0
67,видеться,2.3.2.1,2.3.2.1.2.4.1.,0
68,видеться,2.3.2.1,2.3.2.1.2.5.,0
69,витать,2.3.2.1,2.3.2.1.2.4.2.,1
70,влечь,2.3.2.1,2.3.2.1.4.2.,0
71,влюбить,2.3.2.2,2.3.2.2.2.2.2.2.,1
72,влюбиться,2.3.2.2,2.3.2.2.2.2.2.1.,1
73,вникнуть,2.3.2.1,2.3.2.1.2.2.,0
74,вникнуть,2.3.2.1,2.3.2.1.3.3.,0
75,внушить,2.3.2.3,2.3.2.3.2.2.,0
76,внять,2.3.2.1,2.3.2.1.3.3.,0
77,вогнать,2.3.2.3,2.3.2.3.1.2.2.,2
78,вожделеть,2.3.2.3,2.3.2.3.3.,1
79,возбудить,2.3.2.2,2.3.2.2.2.1.1.2.,0
80,возбуждаться,2.3.2.2,2.3.2.2.2.1.1.1.,1
81,возвратить,2.3.2.3,2.3.2.3.1.3.,2
82,возгореться,2.3.2.2,2.3.2.2.2.1.1.1.,2
83,воздействовать,2.3.2.3,2.3.2.3.2.2.,0
84,воздержаться,2.3.2.3,2.3.2.3.1.8.,0
85,возжаждать,2.3.2.3,2.3.2.3.3.,0
86,возжелать,2.3.2.3,2.3.2.3.3.,0
87,возжечь,2.3.2.2,2.3.2.2.2.1.1.2.,2
88,возликовать,2.3.2.2,2.3.2.2.2.2.1.1.,1
89,возложить,2.3.2.3,2.3.2.3.1.5.,0
90,возлюбить,2.3.2.2,2.3.2.2.2.2.2.1.,0
91,возмечтать,2.3.2.1,2.3.2.1.2.4.2.,1
92,возмутить,2.3.2.2,2.3.2.2.2.3.7.2.,1
93,возмутиться,2.3.2.2,2.3.2.2.2.3.7.1.,1
94,вознамериться,2.3.2.3,2.3.2.3.1.4.,0
95,вознегодовать,2.3.2.2,2.3.2.2.2.3.7.1.,1
96,возненавидеть,2.3.2.2,2.3.2.2.2.3.1.,1
97,возрадоваться,2.3.2.2,2.3.2.2.2.2.1.1.,1
98,возразить,2.3.2.3,2.3.2.3.1.7.2.,0
99,волновать,2.3.2.2,2.3.2.2.2.1.1.2.,1
100,волноваться,2.3.2.2,2.3.2.2.2.1.1.1.,1
101,вообразить,2.3.2.1,2.3.2.1.2.1.,0
102,вообразить,2.3.2.1,2.3.2.1.2.4.1.,0
103,воодушевить,2.3.2.2,2.3.2.2.2.1.1.2.,1
104,воодушевиться,2.3.2.2,2.3.2.2.2.1.1.1.,1
105,вооружить,2.3.2.2,2.3.2.2.2.3.2.2.,2
106,воротить,2.3.2.3,2.3.2.3.1.3.,1
107,ворошить,2.3.2.1,2.3.2.1.5.1.,2
108,воспалиться,2.3.2.2,2.3.2.2.2.1.1.1.,1
109,воспламенить,2.3.2.2,2.3.2.2.2.1.1.2.,2
110,воспламениться,2.3.2.2,2.3.2.2.2.1.1.1.,2
111,воспретить,2.3.2.3,2.3.2.3.1.6.2.,0
112,воспринять,2.3.2.1,2.3.2.1.3.3.,0
113,воспрянуть,2.3.2.2,2.3.2.2.2.2.1.1.,1
114,воспылать,2.3.2.2,2.3.2.2.2.1.1.1.,1
115,восторгаться,2.3.2.2,2.3.2.2.2.2.1.1.,1
116,восхищать,2.3.2.2,2.3.2.2.2.2.1.2.,1
117,восхищаться,2.3.2.2,2.3.2.2.2.2.1.1.,1
118,восхотеть,2.3.2.3,2.3.2.3.3.,0
119,восчувствовать,2.3.2.2,2.3.2.2.1.,0
120,впечатлять,2.3.2.1,2.3.2.1.5.1.,1
121,впивать,2.3.2.1,2.3.2.1.5.1.,1
122,впитать,2.3.2.1,2.3.2.1.3.3.,0
123,впитать,2.3.2.1,2.3.2.1.5.1.,0
124,врезаться,2.3.2.1,2.3.2.1.5.1.,2
125,врезаться,2.3.2.2,2.3.2.2.2.2.2.1.,2
126,вручить,2.3.2.3,2.3.2.3.1.5.,2
127,вскрыть,2.3.2.1,2.3.2.1.3.1.,0
128,вспомнить,2.3.2.1,2.3.2.1.5.1.,0
129,вспомниться,2.3.2.1,2.3.2.1.5.1.,0
130,вспомянуть,2.3.2.1,2.3.2.1.5.1.,0
131,вспугнуть,2.3.2.3,2.3.2.3.1.2.1.3.,2
132,вспылить,2.3.2.2,2.3.2.2.2.3.7.1.,1
133,вспыхнуть,2.3.2.2,2.3.2.2.2.1.1.1.,2
134,вспыхнуть,2.3.2.2,2.3.2.2.2.3.6.1.,2
135,встретить,2.3.2.1,2.3.2.1.3.1.,0
136,вторить,2.3.2.3,2.3.2.3.1.7.1.,1
137,втюриться,2.3.2.2,2.3.2.2.2.2.2.1.,1
138,выбрать,2.3.2.3,2.3.2.3.1.4.,0
139,выбросить,2.3.2.3,2.3.2.3.1.2.1.1.,2
140,выведать,2.3.2.1,2.3.2.1.3.2.,0
141,вывести,2.3.2.1,2.3.2.1.2.1.,2
142,вывести,2.3.2.1,2.3.2.1.3.3.,2
143,выгнать,2.3.2.3,2.3.2.3.1.2.1.1.,2
144,выдворить,2.3.2.3,2.3.2.3.1.2.1.1.,2
145,выдержать,2.3.2.3,2.3.2.3.1.3.,2
146,выдержать,2.3.2.3,2.3.2.3.4.,2
147,выдерживать,2.3.2.3,2.3.2.3.1.3.,2
148,выдерживать,2.3.2.3,2.3.2.3.4.,2
149,выдумать,2.3.2.1,2.3.2.1.2.4.1.,0
150,выдюжить,2.3.2.3,2.3.2.3.4.,2
151,выживать,2.3.2.3,2.3.2.3.1.2.1.1.,1
152,выжить,2.3.2.3,2.3.2.3.1.2.1.1.,1
153,вызвать,2.3.2.3,2.3.2.3.1.3.,0
154,вызнать,2.3.2.1,2.3.2.1.3.2.,0
155,вызывать,2.3.2.3,2.3.2.3.1.3.,0
156,выкурить,2.3.2.3,2.3.2.3.1.2.1.1.,2
157,вынести,2.3.2.1,2.3.2.1.3.3.,2
158,вынести,2.3.2.3,2.3.2.3.4.,2
159,выносить,2.3.2.1,2.3.2.1.3.3.,2
160,вынудить,2.3.2.3,2.3.2.3.1.3.,0
161,выпереть,2.3.2.3,2.3.2.3.1.2.1.1.,2
162,выпроводить,2.3.2.3,2.3.2.3.1.2.1.1.,2
163,высадить,2.3.2.3,2.3.2.3.1.2.1.1.,2
164,выслать,2.3.2.3,2.3.2.3.1.2.1.1.,2
165,выставить,2.3.2.3,2.3.2.3.1.2.1.1.,0
166,выставить,2.3.2.3,2.3.2.3.1.5.,0
167,выстоять,2.3.2.3,2.3.2.3.1.8.,2
168,выстрадать,2.3.2.2,2.3.2.2.2.3.4.1.,1
169,вытерпеть,2.3.2.3,2.3.2.3.4.,1
170,вытребовать,2.3.2.3,2.3.2.3.1.1.,2
171,вытребовать,2.3.2.3,2.3.2.3.1.2.2.,2
172,вычислить,2.3.2.1,2.3.2.1.2.5.,0
173,вычислить,2.3.2.1,2.3.2.1.3.3.,0
174,вышвырнуть,2.3.2.3,2.3.2.3.1.2.1.1.,2
175,вышибить,2.3.2.3,2.3.2.3.1.2.1.1.,2
176,выявить,2.3.2.1,2.3.2.1.3.1.,0
177,выяснить,2.3.2.1,2.3.2.1.3.2.,0
178,гадать,2.3.2.1,2.3.2.1.2.5.,0
179,глодать,2.3.2.2,2.3.2.2.2.3.4.2.,2
180,глотать,2.3.2.2,2.3.2.2.2.3.6.1.,2
181,глупеть,2.3.2.2,2.3.2.2.4.2.2.,1
182,глядеть,2.3.2.1,2.3.2.1.3.3.,2
183,гнать,2.3.2.3,2.3.2.3.1.2.1.1.,2
184,гнать,2.3.2.3,2.3.2.3.2.3.,2
185,гневаться,2.3.2.2,2.3.2.2.2.3.7.1.,1
186,гневить,2.3.2.2,2.3.2.2.2.3.7.2.,1
187,гнести,2.3.2.2,2.3.2.2.2.3.4.2.,1
188,гнушаться,2.3.2.2,2.3.2.2.2.3.2.1.,1
189,гонять,2.3.2.3,2.3.2.3.1.2.1.1.,2
190,гордиться,2.3.2.2,2.3.2.2.2.2.4.,1
191,горевать,2.3.2.2,2.3.2.2.3.4.1.,1
192,гореть,2.3.2.2,2.3.2.2.2.1.1.1.,2
193,грезить,2.3.2.1,2.3.2.1.2.4.2.,1
194,грубеть,2.3.2.2,2.3.2.2.4.3.,1
195,грустить,2.3.2.2,2.3.2.2.3.4.1.,1
196,грызть,2.3.2.2,2.3.2.2.2.3.4.2.,2
197,давить,2.3.2.2,2.3.2.2.2.3.4.2.,2
198,давить,2.3.2.2,2.3.2.2.3.3.2.,2
199,дать,2.3.2.1,2.3.2.1.2.5.,0
200,дать,2.3.2.3,2.3.2.3.1.6.1.,0
201,даться,2.3.2.3,2.3.2.3.1.6.1.,0
202,двигать,2.3.2.3,2.3.2.3.1.2.1.2.,2
203,дергаться,2.3.2.2,2.3.2.2.2.3.5.1.,2
204,держать,2.3.2.3,2.3.2.3.1.3.,2
205,держаться,2.3.2.3,2.3.2.3.1.8.,2
206,дерзать,2.3.2.3,2.3.2.3.1.4.,0
207,дивить,2.3.2.2,2.3.2.2.2.1.2.2.,1
208,дивиться,2.3.2.2,2.3.2.2.2.1.2.1.,1
209,диктовать,2.3.2.3,2.3.2.3.1.1.,0
210,диктовать,2.3.2.3,2.3.2.3.2.2.,0
211,дискредитировать,2.3.2.2,2.3.2.2.2.3.2.1.,0
212,дичать,2.3.2.2,2.3.2.2.4.3.,1
213,добиться,2.3.2.3,2.3.2.3.1.8.,2
214,добраться,2.3.2.1,2.3.2.1.3.3.,2
215,добреть,2.3.2.2,2.3.2.2.4.3.,1
216,довериться,2.3.2.1,2.3.2.1.6.3.,0
217,доверять,2.3.2.1,2.3.2.1.6.3.,0
218,довести,2.3.2.2,2.3.2.2.2.3.7.2.,2
219,довольствоваться,2.3.2.3,2.3.2.3.1.7.1.,0
220,догадаться,2.3.2.1,2.3.2.1.2.5.,0
221,догнать,2.3.2.3,2.3.2.3.1.2.2.,2
222,додумать,2.3.2.1,2.3.2.1.2.1.,0
223,додуматься,2.3.2.1,2.3.2.1.2.5.,0
224,додуматься,2.3.2.3,2.3.2.3.1.4.,0
225,дозволить,2.3.2.3,2.3.2.3.1.6.1.,0
226,дойти,2.3.2.1,2.3.2.1.3.3.,2
227,доказать,2.3.2.1,2.3.2.1.2.1.,0
228,допустить,2.3.2.1,2.3.2.1.2.5.,0
229,допустить,2.3.2.3,2.3.2.3.1.6.1.,0
230,дорисовать,2.3.2.1,2.3.2.1.2.4.2.,0
231,дорожить,2.3.2.2,2.3.2.2.2.2.2.1.,1
232,досадовать,2.3.2.2,2.3.2.2.2.3.6.1.,1
233,досмотреть,2.3.2.1,2.3.2.1.3.1.,0
234,достичь,2.3.2.3,2.3.2.3.1.8.,2
235,доходить,2.3.2.1,2.3.2.1.3.3.,2
236,дразнить,2.3.2.3,2.3.2.3.3.,1
237,дрожать,2.3.2.2,2.3.2.2.2.3.5.1.,1
238,дружить,2.3.2.2,2.3.2.2.2.2.3.1.1.,1
239,думать,2.3.2.1,2.3.2.1.2.1.,0
