,word,code,full_code,cluster
0,абстрагировать,2.3.2.1,2.3.2.1.2.1.,12
1,абстрагироваться,2.3.2.1,2.3.2.1.2.1.,28
2,алкать,2.3.2.3,2.3.2.3.3.,12
3,ассигновать,2.3.2.3,2.3.2.3.1.4.,2
4,ассоциировать,2.3.2.1,2.3.2.1.2.1.,28
5,балдеть,2.3.2.2,2.3.2.2.4.2.2.,12
6,бесить,2.3.2.2,2.3.2.2.2.3.6.2.,12
7,беситься,2.3.2.2,2.3.2.2.2.3.7.1.,22
8,беспокоить,2.3.2.2,2.3.2.2.2.3.5.2.,22
9,беспокоиться,2.3.2.2,2.3.2.2.2.3.5.1.,22
10,благоволить,2.3.2.2,2.3.2.2.2.2.3.1.1.,2
11,благоговеть,2.3.2.2,2.3.2.2.2.2.2.1.,2
12,благословить,2.3.2.3,2.3.2.3.1.7.1.,2
13,блаженствовать,2.3.2.2,2.3.2.2.3.1.1.,12
14,блуждать,2.3.2.1,2.3.2.1.2.3.,5
15,боготворить,2.3.2.2,2.3.2.2.2.2.2.1.,34
16,болеть,2.3.2.1,2.3.2.1.4.2.,22
17,болеть,2.3.2.2,2.3.2.2.2.3.5.1.,22
18,бояться,2.3.2.1,2.3.2.1.2.5.,29
19,бояться,2.3.2.2,2.3.2.2.2.3.5.1.,29
20,браться,2.3.2.3,2.3.2.3.1.4.,5
21,бредить,2.3.2.1,2.3.2.1.2.4.2.,22
22,брезгать,2.3.2.2,2.3.2.2.2.3.2.1.,12
23,бродить,2.3.2.1,2.3.2.1.2.3.,5
24,будить,2.3.2.2,2.3.2.2.2.1.1.2.,6
25,будоражить,2.3.2.2,2.3.2.2.2.3.5.2.,22
26,валить,2.3.2.3,2.3.2.3.1.5.,5
27,вверить,2.3.2.3,2.3.2.3.1.5.,2
28,вдохновить,2.3.2.2,2.3.2.2.2.2.1.2.,28
29,вдохновить,2.3.2.3,2.3.2.3.2.1.,28
30,вдохновиться,2.3.2.2,2.3.2.2.2.1.1.1.,28
31,вдохнуть,2.3.2.2,2.3.2.2.2.1.1.2.,28
32,вдуматься,2.3.2.1,2.3.2.1.2.2.,28
33,ведать,2.3.2.1,2.3.2.1.3.1.,2
34,ведать,2.3.2.1,2.3.2.1.3.2.,2
35,ведать,2.3.2.1,2.3.2.1.3.3.,2
36,велеть,2.3.2.3,2.3.2.3.1.1.,16
37,велеть,2.3.2.3,2.3.2.3.1.5.,16
38,верить,2.3.2.1,2.3.2.1.1.,7
39,верить,2.3.2.1,2.3.2.1.6.1.,7
40,верить,2.3.2.1,2.3.2.1.6.3.,7
41,вериться,2.3.2.1,2.3.2.1.6.1.,12
42,вернуть,2.3.2.3,2.3.2.3.1.3.,25
43,веровать,2.3.2.1,2.3.2.1.1.,7
44,веровать,2.3.2.1,2.3.2.1.6.1.,7
45,веселеть,2.3.2.2,2.3.2.2.4.3.,12
46,веселить,2.3.2.2,2.3.2.2.2.2.1.2.,22
47,веселиться,2.3.2.2,2.3.2.2.2.2.1.1.,22
48,взбелениться,2.3.2.2,2.3.2.2.2.3.7.1.,12
49,взвалить,2.3.2.3,2.3.2.3.1.5.,5
50,взвесить,2.3.2.1,2.3.2.1.2.2.,2
51,взвесить,2.3.2.1,2.3.2.1.2.6.,2
52,взвинтить,2.3.2.2,2.3.2.2.2.3.5.2.,12
53,взвиться,2.3.2.2,2.3.2.2.2.3.7.1.,5
54,взволноваться,2.3.2.2,2.3.2.2.2.1.1.1.,11
55,взглянуть,2.3.2.1,2.3.2.1.4.1.,24
56,вздумать,2.3.2.3,2.3.2.3.3.,16
57,вздуматься,2.3.2.3,2.3.2.3.3.,12
